9587.gml	13.696	0.612	1.0	8.30	0.306	0.123	124.55	-49.96	-3.491	0.870	0.821	1.6734	3.501	-0.076	0.027	0.501	0.958	0.587	87.0	24.0	19.402	0.020	5.9959693E-5	-4.555498E-6	1.617088E-5	1.1011125E-7	1.1911158E-8	4.081969E-8	4.508003E-9	7.613057E-5	2.0004705E-9	1.1274985E-15	2.3049737E-14	-6.047676E-30	9.405537E-19	1.1734943E-28
9102.gml	3.660	0.441	1.0	6.60	0.230	0.136	53.64	-18.85	-1.835	0.522	0.502	1.5846	2.426	0.349	2.798	0.045	0.357	0.175	6.0	5.0	7.129	0.071	5.989439E-5	-6.9038924E-7	9.793076E-6	1.4605942E-7	-1.1851148E-8	-5.2468952E-8	-3.282388E-8	6.968747E-5	2.5120483E-9	9.2099234E-14	1.0755033E-14	8.167872E-29	3.5039756E-19	3.2848736E-28
8790.gml	1.003	36.125	1.0	0.80	0.249	0.134	2.22	1.57	1.059	0.150	0.186	0.0341	0.002	-0.999	3.136	0.000	0.682	0.362	0.0	0.0	10.206	0.061	7.307727E-7	1.8337098E-5	5.3754315E-4	-3.6979292E-10	-7.830501E-9	-1.5129282E-7	-2.8059544E-6	5.3827395E-4	2.8951254E-7	7.94777E-12	7.940388E-12	6.307906E-23	4.2691045E-15	-1.5303644E-27
8609.gml	2.635	0.399	1.0	0.98	0.383	0.135	8.00	-7.13	-3.939	0.442	0.403	1.7763	0.957	0.998	1.834	0.070	1.464	1.212	2.0	0.0	5.277	0.431	8.289411E-4	-1.62582E-4	8.288598E-5	-5.4973057E-6	1.81886E-6	-9.58053E-7	9.375258E-8	9.118271E-4	6.623299E-7	3.564082E-11	4.5329743E-11	1.7645687E-21	3.638956E-14	-4.538572E-22
4916.gml	6.111	0.581	1.0	2.14	0.267	0.152	36.34	18.85	4.820	0.929	0.860	1.4419	2.193	0.965	1.706	0.140	1.567	0.996	5.0	12.0	9.141	0.138	1.8715093E-4	1.7503617E-5	5.4331205E-5	2.2669428E-6	3.2233623E-7	1.1579074E-7	-1.985934E-7	2.4148214E-4	1.8866588E-8	5.0433793E-12	5.6927314E-12	2.8211853E-23	7.7268304E-16	1.1598336E-23
6636.gml	6.441	0.509	4.0	2.70	0.244	0.116	34.48	-0.54	-0.198	1.277	1.233	1.7759	1.639	1.000	1.787	0.297	1.963	1.305	23.0	3.0	11.636	0.033	2.0703934E-4	-3.1221443E-5	6.345383E-5	-3.789737E-7	4.922427E-7	-1.0292494E-7	-1.0199319E-7	2.7049318E-4	2.4515913E-8	2.4972886E-12	3.8452097E-13	3.277926E-25	3.496313E-17	1.8582935E-25
5154.gml	6.747	0.527	1.0	3.84	0.279	0.118	61.64	-11.64	-1.777	0.941	0.871	1.7259	2.571	0.862	2.257	0.454	1.032	0.697	13.0	14.0	10.394	0.087	1.09875284E-4	-1.2777996E-5	3.0140362E-5	3.201607E-7	-6.945771E-9	3.4682532E-9	7.1578896E-8	1.4001565E-4	7.0107657E-9	1.044895E-13	1.0891314E-13	7.391167E-27	6.948888E-18	-8.9646184E-27
7228.gml	5.025	0.533	1.0	2.18	0.283	0.141	36.47	-25.27	-6.317	0.912	0.857	1.8938	2.035	1.000	1.898	0.049	1.259	0.910	8.0	13.0	8.141	0.145	1.9084949E-4	-4.9967202E-5	5.8302387E-5	-1.4499896E-7	-4.4428103E-7	4.451035E-7	-5.097934E-7	2.4915187E-4	2.755562E-8	2.868727E-12	1.0003207E-12	6.7051437E-25	-5.1487655E-17	1.556245E-24
9010.gml	4.430	0.358	9.0	5.07	0.272	0.122	51.08	-13.01	-3.142	1.234	1.184	1.6376	1.213	0.466	2.724	0.078	0.775	0.526	4.0	1.0	8.233	0.022	2.0046454E-4	-1.2498568E-5	1.462507E-5	4.7943513E-7	-2.5705075E-8	-6.7590813E-9	-9.338583E-9	2.150896E-4	3.516116E-8	2.5430612E-13	2.246507E-13	5.3491746E-26	4.2120642E-17	4.6764302E-27
4809.gml	4.096	0.540	1.0	2.00	0.260	0.137	24.99	2.46	0.712	0.722	0.703	1.6206	2.053	0.786	2.287	0.215	1.187	0.906	1.0	11.0	6.983	0.069	1.9239265E-4	-6.7597484E-6	5.7075842E-5	6.067552E-7	-6.410583E-7	-7.186417E-8	-3.8878247E-9	2.494685E-4	1.8493413E-8	4.3599187E-12	7.020639E-13	1.2453646E-25	-8.242689E-18	1.2219695E-24
